bnum	position	modification
b2403	17	DDusgen_path_2
b2403	55	Y_path_7
b2403	34	mo5U_path_1
b2403	8	s4U_path_1
b2403	37	m6A_path_1
b2402	34	cmo5U_path_1
b2402	54	m5U_path_1
b2402	46	m7G_path_1
b2402	17	DDusgen_path_2
b2402	55	Y_path_7
b2402	34	mo5U_path_1
b2402	8	s4U_path_1
b2402	37	m6A_path_1
b3978	37	m2A_path_1
b3978	34	mnm5U_path_1
b3978	34	mnm5U_path_2
b3978	20A	DDusgen_path_1
b3978	54	m5U_path_1
b3978	55	Y_path_7
b3979	54	m5U_path_1
b3979	46	m7G_path_1
b3979	20	DDusgen_path_3
b3979	17	DDusgen_path_2
b3979	55	Y_path_7
b3979	34	QtRNA_path_1
b3979	37	m6t6A_path_1
b2397	37	m2A_path_1
b2397	54	m5U_path_1
b2397	46	m7G_path_1
b2397	17	DDusgen_path_2
b2397	55	Y_path_7
b2397	34	QtRNA_path_1
b2396	37	m2A_path_1
b2396	54	m5U_path_1
b2396	46	m7G_path_1
b2396	17	DDusgen_path_2
b2396	55	Y_path_7
b2396	34	QtRNA_path_1
b3976	34	cmo5U_path_1
b3976	54	m5U_path_1
b3976	20	DDusgen_path_3
b3976	55	Y_path_7
b3976	34	mo5U_path_1
b3976	37	t6A_path_1
b3977	18	Gm_path_1
b3977	54	m5U_path_1
b3977	39	Y_path_4
b3977	55	Y_path_7
b3977	34	QtRNA_path_1
b3977	37	ms2i6A_path_1
b3977	8	s4U_path_1
b3171	54	m5U_path_1
b3171	32	Cm_path_1
b3171	55	Y_path_7
b3171	20	DDusA_path_3
b3171	37	t6A_path_1
b3171	34	ac4C_path_1
b3174	18	Gm_path_1
b3174	54	m5U_path_1
b3174	20	DDusgen_path_3
b3174	17	DDusgen_path_2
b3174	38	Y_path_3
b3174	55	Y_path_7
b3174	34	QtRNA_path_1
b3174	37	m1G_path_1
b1975	37	ms2i6A_path_1
b1975	18	Gm_path_1
b1975	20A	DDusgen_path_1
b1975	54	m5U_path_1
b1975	55	Y_path_7
b1977	54	m5U_path_1
b1977	46	m7G_path_1
b1977	20	DDusgen_path_3
b1977	37	ct6A_path_1
b1977	34	QtRNA_path_1
b1977	39	Y_path_4
b1977	55	Y_path_7
b1977	8	s4U_path_1
b3761	32	Cm_path_1
b3761	54	m5U_path_1
b3761	46	m7G_path_1
b3761	20	DDusgen_path_3
b3761	17	DDusgen_path_2
b3761	55	Y_path_7
b3761	37	ms2i6A_path_1
b3761	8	s4U_path_1
b3760	37	m2A_path_1
b3760	54	m5U_path_1
b3760	46	m7G_path_1
b3760	20A	DDusgen_path_1
b3760	20	DDusgen_path_3
b3760	65	Y_path_2
b3760	55	Y_path_7
b3760	34	gluQtRNA_path_1
b3760	8	s4U_path_1
b4134	47	acp3U_path_1
b4134	54	m5U_path_1
b4134	46	m7G_path_1
b4134	20	DDusgen_path_3
b4134	32	Y_path_1
b4134	39	Y_path_4
b4134	55	Y_path_7
b4134	34	QtRNA_path_1
b4134	37	ms2i6A_path_1
b4134	8	s4U_path_1
b3545	37	m1G_path_1
b3545	20	DDusgen_path_3
b3545	54	m5U_path_1
b3545	55	Y_path_7
b0206	37	m2A_path_1
b0206	54	m5U_path_1
b0206	46	m7G_path_1
b0206	20A	DDusgen_path_1
b0206	20	DDusgen_path_3
b0206	65	Y_path_2
b0206	55	Y_path_7
b0206	34	gluQtRNA_path_1
b0206	8	s4U_path_1
b1984	54	m5U_path_1
b1984	46	m7G_path_1
b1984	20	DDusgen_path_3
b1984	37	ct6A_path_1
b1984	34	QtRNA_path_1
b1984	39	Y_path_4
b1984	55	Y_path_7
b1984	8	s4U_path_1
b0203	37	m2A_path_1
b0203	34	cmo5U_path_1
b0203	54	m5U_path_1
b0203	46	m7G_path_1
b0203	17	DDusgen_path_2
b0203	55	Y_path_7
b0203	34	mo5U_path_1
b0202	54	m5U_path_1
b0202	46	m7G_path_1
b0202	20A	DDusgen_path_1
b0202	20	DDusgen_path_3
b0202	17	DDusgen_path_2
b0202	65	Y_path_2
b0202	55	Y_path_7
b0202	34	QtRNA_path_1
b0202	37	ct6A_path_1
b1989	54	m5U_path_1
b1989	46	m7G_path_1
b1989	20	DDusgen_path_3
b1989	37	ct6A_path_1
b1989	34	QtRNA_path_1
b1989	39	Y_path_4
b1989	55	Y_path_7
b1989	8	s4U_path_1
b2967	47	acp3U_path_1
b2967	54	m5U_path_1
b2967	46	m7G_path_1
b2967	20	DDusgen_path_3
b2967	32	Y_path_1
b2967	39	Y_path_4
b2967	55	Y_path_7
b2967	34	QtRNA_path_1
b2967	37	ms2i6A_path_1
b2967	8	s4U_path_1
b3069	18	Gm_path_1
b3069	54	m5U_path_1
b3069	46	m7G_path_1
b3069	20A	DDusgen_path_1
b3069	20	DDusgen_path_3
b3069	39	Y_path_4
b3069	55	Y_path_7
b3069	37	ct6A_path_1
b3069	8	s4U_path_1
b3069	34	k2C_path_1
b1909	18	Gm_path_1
b1909	54	m5U_path_1
b1909	20	DDusgen_path_3
b1909	32	Y_path_1
b1909	39	Y_path_4
b1909	55	Y_path_7
b1909	37	ms2i6A_path_1
b1909	34	cmnm5Um_path_2
b1909	8	s4U_path_1
b0670	37	m2A_path_1
b0670	18	Gm_path_1
b0670	54	m5U_path_1
b0670	20	DDusgen_path_3
b0670	34	mnm5ges2U_path_5
b0670	38	Y_path_3
b0670	55	Y_path_7
b0670	34	ges2U_path_1
b0670	34	mnm5se2U_path_8
b0670	8	s4U_path_1
b0670	34	cmnm5se2U_path_2
b0672	34	cmo5U_path_1
b0672	54	m5U_path_1
b0672	20	DDusgen_path_3
b0672	17	DDusgen_path_2
b0672	55	Y_path_7
b0672	37	m1G_path_1
b0672	34	mo5U_path_1
b0673	18	Gm_path_1
b0673	54	m5U_path_1
b0673	46	m7G_path_1
b0673	20A	DDusgen_path_1
b0673	20	DDusgen_path_3
b0673	17	DDusgen_path_2
b0673	37	ct6A_path_1
b0673	39	Y_path_4
b0673	55	Y_path_7
b0673	8	s4U_path_1
b2816	37	t6A_path_1
b2816	20	DDusA_path_3
b2816	55	Y_path_7
b2816	34	ac4C_path_1
b2816	54	m5U_path_1
b2814	54	m5U_path_1
b2814	32	Cm_path_1
b2814	55	Y_path_7
b2814	20	DDusA_path_3
b2814	37	t6A_path_1
b2814	34	ac4C_path_1
b2815	37	t6A_path_1
b2815	20	DDusA_path_3
b2815	55	Y_path_7
b2815	34	ac4C_path_1
b2815	54	m5U_path_1
b3796	32	s2C_path_1
b3796	54	m5U_path_1
b3796	46	m7G_path_1
b3796	20A	DDusgen_path_1
b3796	17	DDusgen_path_2
b3796	55	Y_path_7
b3796	37	m1G_path_1
b3797	37	m2A_path_1
b3797	54	m5U_path_1
b3797	46	m7G_path_1
b3797	20	DDusgen_path_3
b3797	17	DDusgen_path_2
b3797	38	Y_path_3
b3797	39	Y_path_4
b3797	55	Y_path_7
b3797	34	QtRNA_path_1
b3797	8	s4U_path_1
b4008	37	m2A_path_1
b4008	54	m5U_path_1
b4008	55	Y_path_7
b4008	13	Y_path_6
b4008	34	mnm5ges2U_path_5
b4008	34	mnm5ges2U_path_4
b4008	34	ges2U_path_1
b4008	34	mnm5se2U_path_6
b4008	34	mnm5se2U_path_8
b3798	18	Gm_path_1
b3798	54	m5U_path_1
b3798	34	Cm_path_2
b3798	20	DDusgen_path_3
b3798	17	DDusgen_path_2
b3798	38	Y_path_3
b3798	40	Y_path_5
b3798	55	Y_path_7
b3798	37	m1G_path_1
b3799	34	cmo5U_path_1
b3799	54	m5U_path_1
b3799	20	DDusgen_path_3
b3799	17	DDusgen_path_2
b3799	55	Y_path_7
b3799	37	m1G_path_1
b3799	34	mo5U_path_1
b2652	18	Gm_path_1
b2652	54	m5U_path_1
b2652	46	m7G_path_1
b2652	20A	DDusgen_path_1
b2652	20	DDusgen_path_3
b2652	55	Y_path_7
b2652	37	ct6A_path_1
b2652	8	s4U_path_1
b2652	34	k2C_path_1
b1910	54	m5U_path_1
b1910	20	DDusgen_path_3
b1910	32	Y_path_1
b1910	39	Y_path_4
b1910	55	Y_path_7
b1910	34	QtRNA_path_1
b1910	37	ms2i6A_path_1
b1910	8	s4U_path_1
b1911	37	m2A_path_1
b1911	54	m5U_path_1
b1911	46	m7G_path_1
b1911	20	DDusgen_path_3
b1911	17	DDusgen_path_2
b1911	55	Y_path_7
b1911	34	QtRNA_path_1
b0536	32	s2C_path_1
b0536	34	mnm5U_path_1
b0536	34	mnm5U_path_2
b0536	54	m5U_path_1
b0536	20A	DDusgen_path_1
b0536	17	DDusgen_path_2
b0536	40	Y_path_5
b0536	55	Y_path_7
b0536	37	ct6A_path_1
b3658	37	i6A_path_1
b3658	20	DDusgen_path_3
b3658	54	m5U_path_1
b1665	37	m2A_path_1
b1665	54	m5U_path_1
b1665	46	m7G_path_1
b1665	20A	DDusgen_path_1
b1665	20	DDusgen_path_3
b1665	17	DDusgen_path_2
b1665	55	Y_path_7
b1665	34	QtRNA_path_1
b1665	8	s4U_path_1
b1666	37	m2A_path_1
b1666	54	m5U_path_1
b1666	46	m7G_path_1
b1666	20A	DDusgen_path_1
b1666	20	DDusgen_path_3
b1666	17	DDusgen_path_2
b1666	55	Y_path_7
b1666	34	QtRNA_path_1
b1666	8	s4U_path_1
b0216	37	m2A_path_1
b0216	54	m5U_path_1
b0216	46	m7G_path_1
b0216	20A	DDusgen_path_1
b0216	20	DDusgen_path_3
b0216	65	Y_path_2
b0216	55	Y_path_7
b0216	34	gluQtRNA_path_1
b0216	8	s4U_path_1
b0744	34	cmo5U_path_1
b0744	54	m5U_path_1
b0744	46	m7G_path_1
b0744	17	DDusgen_path_2
b0744	55	Y_path_7
b0744	34	mo5U_path_1
b0744	8	s4U_path_1
b0744	37	m6A_path_1
b0745	39	Y_path_4
b0745	55	Y_path_7
b0745	54	m5U_path_1
b0745	46	m7G_path_1
b0745	20	DDusgen_path_3
b0745	17	DDusgen_path_2
b0745	37	ct6A_path_1
b0745	34	mnm5ges2U_path_5
b0745	34	mnm5ges2U_path_4
b0745	34	ges2U_path_1
b0745	34	mnm5se2U_path_6
b0745	34	mnm5se2U_path_8
b0746	54	m5U_path_1
b0746	46	m7G_path_1
b0746	17	DDusgen_path_2
b0746	55	Y_path_7
b0746	8	s4U_path_1
b0746	37	m6A_path_1
b0747	39	Y_path_4
b0747	55	Y_path_7
b0747	54	m5U_path_1
b0747	46	m7G_path_1
b0747	20	DDusgen_path_3
b0747	17	DDusgen_path_2
b0747	37	ct6A_path_1
b0747	34	mnm5ges2U_path_5
b0747	34	mnm5ges2U_path_4
b0747	34	ges2U_path_1
b0747	34	mnm5se2U_path_6
b0747	34	mnm5se2U_path_8
b0743	39	Y_path_4
b0743	55	Y_path_7
b0743	54	m5U_path_1
b0743	46	m7G_path_1
b0743	20	DDusgen_path_3
b0743	17	DDusgen_path_2
b0743	37	ct6A_path_1
b0743	34	mnm5ges2U_path_5
b0743	34	mnm5ges2U_path_4
b0743	34	ges2U_path_1
b0743	34	mnm5se2U_path_6
b0743	34	mnm5se2U_path_8
b3276	37	m2A_path_1
b3276	34	cmo5U_path_1
b3276	54	m5U_path_1
b3276	46	m7G_path_1
b3276	17	DDusgen_path_2
b3276	55	Y_path_7
b3276	34	mo5U_path_1
b0748	39	Y_path_4
b0748	55	Y_path_7
b0748	54	m5U_path_1
b0748	46	m7G_path_1
b0748	20	DDusgen_path_3
b0748	17	DDusgen_path_2
b0748	37	ct6A_path_1
b0748	34	mnm5ges2U_path_5
b0748	34	mnm5ges2U_path_4
b0748	34	ges2U_path_1
b0748	34	mnm5se2U_path_6
b0748	34	mnm5se2U_path_8
b0749	55	Y_path_7
b0749	54	m5U_path_1
b0749	46	m7G_path_1
b0749	20	DDusgen_path_3
b0749	17	DDusgen_path_2
b0749	37	ct6A_path_1
b0749	34	mnm5ges2U_path_5
b0749	34	mnm5ges2U_path_4
b0749	34	ges2U_path_1
b0749	34	mnm5se2U_path_6
b0749	34	mnm5se2U_path_8
